1025k  171.221.34.66:8888
1010k  171.213.133.55:8000
1000k  171.212.254.157:9999
999k  222.211.139.178:55555
999k  222.211.136.232:55555
999k  171.213.214.235:4022
816k  222.212.72.181:8888
725k  182.138.221.26:8888
636k  171.213.206.235:8686
634k  171.213.140.234:4022
449k  171.213.140.99:8123
365k  171.213.128.34:4022
355k  171.213.140.54:8123
276k  171.213.207.76:8000
