1058k  222.65.234.44:4022
1037k  222.70.19.5:5555
1037k  180.154.87.43:4022
977k  180.154.97.166:4022
907k  222.67.47.207:9999
839k  114.95.150.83:4000
752k  116.224.207.223:8899
605k  222.67.30.4:1688
597k  180.165.17.111:8888
381k  114.95.211.128:8888
330k  218.1.77.199:8888
168k  222.67.47.207:8888
163k  58.38.72.220:9200
