330k  223.156.137.200:8999
315k  58.46.215.10:10087
311k  223.145.224.103:8000
308k  220.169.111.157:10087
307k  175.9.44.148:4022
304k  220.169.100.41:10087
301k  118.254.156.145:8888
299k  220.169.109.76:802
225k  223.145.224.183:8000
215k  175.9.37.141:9999
185k  220.169.109.72:802
152k  222.241.133.3:8888
142k  222.241.206.237:6666
122k  175.9.40.243:9999
