1051k  110.250.0.19:6666
990k  121.29.169.233:7777
891k  101.17.113.135:9999
888k  121.29.169.236:8888
784k  101.28.13.14:7912
668k  121.29.215.96:8888
570k  121.29.169.236:7777
411k  121.29.169.49:2083
336k  121.29.215.96:7777
301k  121.29.215.168:8888
269k  60.7.56.21:4000
244k  121.29.169.165:2083
222k  60.7.56.33:4000
