1113k  61.190.129.195:8688
1077k  223.215.1.150:2001
1065k  114.107.47.10:8188
1011k  223.240.160.3:8188
979k  60.167.135.79:8686
580k  117.64.102.177:4022
513k  223.240.180.139:8888
397k  60.168.230.197:2000
303k  60.168.227.225:2000
273k  60.168.229.231:2000
273k  60.168.224.162:2000
268k  61.190.129.195:8686
